,X,MIG,ID1,ID2,LOC1,LOC2,DAY,MONTH,YEAR,MUS,MUSID,BLENGTH,BWIDTH,BDEPTH,BW4MM,PRIM9,PRIM6,TAIL,TARSUS,TOE,WEIGHT,KIND,SUBSP,LONG,LAT,Reg,K5,K5cur
128,1026,1,1026,3,ALASKA,KODIAKI,7,JE,1893,USNM,131807,9.2,4.4,2.9,1.7,62.9,62.2,43.4,18.4,13.6,NA,YELLOW,RUBIGINOSA,-153.25,57.6,NA,NA,ywar4
129,1027,1,1027,3,ALASKA,NATIONC,20,JE,1903,USNM,187282,8.6,3.9,2.9,1.5,57.3,57.3,39.7,17.4,11.2,NA,YELLOW,RUBIGINOSA,-140,64,ywar1,ywar1,ywar1
130,1028,1,1028,3,ALASKA,PETERSBU,13,JE,1962,USNM,479398,9.8,4.1,2.8,2.1,63.1,61,43.2,18.7,11.7,NA,YELLOW,RUBIGINOSA,-132,58,ywar4,ywar4,ywar4
131,1029,1,1029,3,ALASKA,ANAKTUVU,11,JE,1954,USNM,457769,8.5,3.9,2.7,1.5,59.9,59.2,41.2,NA,10.7,9.4,YELLOW,RUBIGINOSA,-150,68,ywar1,ywar1,ywar1
132,1032,1,1032,3,ALASKA,KADIAK,20,JL,1899,USNM,165006,8.5,4,NA,1.6,61.3,58.8,41.3,18.2,13.1,NA,YELLOW,RUBIGINOSA,-153.25,57.6,NA,NA,ywar4
133,1033,1,1033,3,ALASKA,HOODISL,2,JL,NA,USNM,170073,9.5,4.2,3.3,1.7,60,58.1,41.2,17,13.7,NA,YELLOW,RUBIGINOSA,-132,56,ywar4,ywar4,ywar4
134,1034,1,1034,3,ALASKA,CIRCLE,8,JL,1903,USNM,186911,8.7,4.1,3.1,1.7,60.1,59.5,41.9,18,13,NA,YELLOW,RUBIGINOSA,-142,66,ywar1,ywar1,ywar1
135,1035,1,1035,3,ALASKA,KADIAK,1,JL,1899,USNM,165005,9.6,3.8,2.9,1.7,61.5,59.8,40.9,18.4,11.2,NA,YELLOW,RUBIGINOSA,-153.25,57.6,NA,NA,ywar4
136,1036,1,1036,3,ALASKA,LAKEILI,15,JL,1902,USNM,183953,9.2,4.3,2.7,1.6,61.4,59.4,42.2,18.2,12,NA,YELLOW,RUBIGINOSA,-154,60,ywar4,ywar4,ywar4
137,1037,1,1037,3,ALASKA,CIRCLEC,15,AG,1899,USNM,165680,8.8,4,3,1.9,62.8,64.2,46,18.3,12.2,NA,YELLOW,RUBIGINOSA,-142,66,ywar1,ywar1,ywar1
138,1038,1,1038,3,ALASKA,THOMPSON,1,AG,1943,USNM,592465,8.9,4.1,3.1,1.9,62.1,59.1,40.8,17.3,11.3,NA,YELLOW,RUBIGINOSA,-144,62,ywar4,ywar4,ywar4
139,1052,1,1052,1,ALABAMA,GUNTERS,13,JE,1913,USNM,240130,8.9,4.2,3.2,1.7,63.8,61.8,43.1,17.2,10.7,NA,YELLOW,AESTIVA,-86,34,ywar5,ywar5,ywar5
140,1053,1,1053,1,NDAKOTA,PEMBRI,2,JE,1873,USNM,63862,9.8,4.5,3.1,1.8,60.4,NA,45.3,18.6,12.8,NA,YELLOW,AESTIVA,-96,48,ywar5,ywar5,ywar5
141,1054,1,1054,1,WISCONSIN,MADEL,21,JE,1919,USNM,271422,8.8,4,3.3,1.9,60.9,62.9,48.9,18.2,12.1,NA,YELLOW,AESTIVA,-90,46,ywar5,ywar5,ywar5
142,1055,1,1055,1,MONTANA,TERRY,7,JE,1918,USNM,268430,8.9,3.8,3.2,1.7,59.1,56.9,39.1,18.1,13,NA,YELLOW,AESTIVA,-104,46,ywar2,ywar5,ywar5
143,1056,1,1056,1,ALABAMA,ATTALLA,12,JE,1913,USNM,240168,8.2,4.2,3.5,1.7,60.7,60.9,39.2,18.8,11.9,NA,YELLOW,AESTIVA,-86,32,NA,NA,ywar5
144,1057,1,1057,1,WISCONSIN,POTOS,5,JE,1912,USNM,239449,9,4.6,3.3,2.1,62.1,59.5,43.1,17.8,11.7,NA,YELLOW,AESTIVA,-90,42,ywar5,ywar5,ywar5
145,1058,1,1058,1,NDAKOTA,PEMBRI,4,JE,1873,USNM,63860,9.6,4.1,3.1,1.8,60.6,58.6,44.4,17,11.8,NA,YELLOW,AESTIVA,-96,48,ywar5,ywar5,ywar5
146,1059,1,1059,1,NEBRASKA,YANKTO,28,JE,1965,USNM,527955,9.7,4.7,3.1,2.1,64.9,62.6,44.6,18.4,12.1,9.6,YELLOW,AESTIVA,-96,42,ywar5,ywar5,ywar5
147,1060,1,1060,1,NEBRASKA,NIOBAR,2,JE,1964,USNM,527923,8.4,3.6,2.9,1.7,58.2,57.1,38.8,17.7,13.8,NA,YELLOW,AESTIVA,-100,42,ywar5,ywar5,ywar5
148,1061,1,1061,1,NEBRASKA,YANKTO,29,JE,1965,USNM,527961,9.4,3.8,2.9,1.9,NA,60.8,41.2,17.1,14.2,9,YELLOW,AESTIVA,-96,42,ywar5,ywar5,ywar5
149,1062,1,1062,1,MAINE,LINCOLNC,17,JE,1965,USNM,566969,9,4.3,3.1,1.9,64.6,62.7,NA,19.2,14.6,NA,YELLOW,AESTIVA,-70.6,43.5,NA,NA,ywar6
150,1080,1,1080,4,COLORADO,PUEBLO,7,JE,1987,FSU,2729,8.7,3.7,3.2,1.7,61.2,60.6,45.5,17,13.7,9,YELLOW,MORCOMI,-104,38,ywar3,ywar3,ywar3
151,1081,1,1081,4,COLORADO,PUEBLO,10,JE,1987,FSU,2732,9.1,3.8,3,1.7,61.8,61.9,45,18.2,13.6,10,YELLOW,MORCOMI,-104,38,ywar3,ywar3,ywar3
152,1082,1,1082,4,COLORADO,PUEBLO,8,JE,1987,FSU,2730,9.3,4.3,3.1,2.1,60.6,60.1,43.6,18.4,13.8,9,YELLOW,MORCOMI,-104,38,ywar3,ywar3,ywar3
153,1083,1,1083,4,COLORADO,PUEBLO,8,JE,1987,FSU,2731,9.5,4.1,3.3,1.8,65.3,65.1,48.1,18.4,13.1,10,YELLOW,MORCOMI,-104,38,ywar3,ywar3,ywar3
154,1084,1,1084,4,MONTANA,BROADWA,21,JE,1987,FSU,2733,9.1,3.5,2.8,1.7,61.1,56.3,42.7,18.6,14.1,9.5,YELLOW,MORCOMI,-110,46,ywar3,ywar3,ywar3
155,1085,1,1085,4,MONTANA,BROADWA,21,JE,1987,FSU,2734,9.3,4.1,2.9,1.7,60.9,61.2,44.9,18.5,13.5,9.8,YELLOW,MORCOMI,-110,46,ywar3,ywar3,ywar3
156,1086,1,1086,4,MONTANA,BROADWA,24,JE,1987,FSU,2735,9.7,4.3,3.3,2,61.1,60.4,44.2,17.6,14.8,10.5,YELLOW,MORCOMI,-110,46,ywar3,ywar3,ywar3
157,1087,1,1087,4,MONTANA,BROADWA,24,JE,1987,FSU,2736,8.8,4.1,3.2,1.9,59.2,59.1,41.9,18.3,12.8,10,YELLOW,MORCOMI,-110,46,ywar3,ywar3,ywar3
158,1088,1,1088,4,MONTANA,BROADWA,30,JE,1987,FSU,2737,9.7,4.2,3,2,59,57.5,39.8,17.3,10.4,10,YELLOW,MORCOMI,-110,46,ywar3,ywar3,ywar3
